variant,algo,seed,step,return_smooth
tuned,a2c,314,444652,80.0
tuned,a2c,314,449683,80.0
tuned,a2c,314,454715,77.56
tuned,a2c,314,459746,80.0
tuned,a2c,314,464777,80.0
tuned,a2c,314,469808,79.9
tuned,a2c,314,474839,80.0
tuned,a2c,314,479871,79.82
tuned,a2c,314,484902,80.0
tuned,a2c,314,489933,80.0
tuned,a2c,314,494964,79.97734006734002
tuned,a2c,314,499996,80.0
default,a2c,42,1494,60.32
default,a2c,42,6529,73.35407114624506
default,a2c,42,11564,78.29797979797979
default,a2c,42,16599,58.96523636363646
default,a2c,42,21635,79.72
default,a2c,42,26670,79.62
default,a2c,42,31705,79.61975757575757
default,a2c,42,36741,78.48307258632846
default,a2c,42,41776,80.0
default,a2c,42,46811,80.0
default,a2c,42,51847,79.96
default,a2c,42,56882,79.92355555555554
default,a2c,42,61917,79.94
default,a2c,42,66952,79.94
default,a2c,42,71988,79.98032323232323
default,a2c,42,77023,68.78599999999996
default,a2c,42,82058,72.19148880105405
default,a2c,42,87094,71.07086868686868
default,a2c,42,92129,73.30400000000003
default,a2c,42,97164,79.98
default,a2c,42,102200,79.92
default,a2c,42,107235,77.74
default,a2c,42,112270,79.78
default,a2c,42,117305,79.9679595959596
default,a2c,42,122341,45.016000000000155
default,a2c,42,127376,79.84565656565672
default,a2c,42,132411,71.62266666666675
default,a2c,42,137447,79.75999999999999
default,a2c,42,142482,79.58197979797977
default,a2c,42,147517,73.64944178628399
default,a2c,42,152553,77.56
default,a2c,42,157588,79.98
default,a2c,42,162623,80.0
default,a2c,42,167659,75.02
default,a2c,42,172694,79.96
default,a2c,42,177729,80.0
default,a2c,42,182764,77.8
default,a2c,42,187800,80.0
default,a2c,42,192835,80.0
default,a2c,42,197870,73.24
default,a2c,42,202906,75.6
default,a2c,42,207941,80.0
default,a2c,42,212976,80.0
default,a2c,42,218012,80.0
default,a2c,42,223047,78.72888888888605
default,a2c,42,228082,80.0
default,a2c,42,233117,61.62733333333337
default,a2c,42,238153,69.94066666666714
default,a2c,42,243188,70.44
default,a2c,42,248223,78.6
default,a2c,42,253259,75.5
default,a2c,42,258294,77.73600000000036
default,a2c,42,263329,80.0
default,a2c,42,268365,80.0
default,a2c,42,273400,80.0
default,a2c,42,278435,77.72
default,a2c,42,283470,77.8
default,a2c,42,288506,80.0
default,a2c,42,293541,78.6
default,a2c,42,298576,77.08
default,a2c,42,303612,77.56909090909097
default,a2c,42,308647,78.39777777777131
default,a2c,42,313682,55.2918787878796
default,a2c,42,318718,80.0
default,a2c,42,323753,79.98
default,a2c,42,328788,77.75999999999999
default,a2c,42,333824,79.89999999999999
default,a2c,42,338859,79.97999999999999
default,a2c,42,343894,79.96000000000001
default,a2c,42,348929,79.6
default,a2c,42,353965,77.24444444444107
default,a2c,42,359000,71.92
default,a2c,42,364035,79.74
default,a2c,42,369071,79.97999999999999
default,a2c,42,374106,43.23066666666768
default,a2c,42,379141,80.0
default,a2c,42,384177,79.98
default,a2c,42,389212,80.0
default,a2c,42,394247,79.72
default,a2c,42,399282,77.51999999999998
default,a2c,42,404318,72.47066666666652
default,a2c,42,409353,79.92
default,a2c,42,414388,70.97382209188696
default,a2c,42,419424,79.98
default,a2c,42,424459,80.0
default,a2c,42,429494,79.47999999999999
default,a2c,42,434530,77.8
default,a2c,42,439565,80.0
default,a2c,42,444600,80.0
default,a2c,42,449635,80.0
default,a2c,42,454671,80.0
default,a2c,42,459706,80.0
default,a2c,42,464741,75.5
default,a2c,42,469777,77.62000000000116
default,a2c,42,474812,80.0
default,a2c,42,479847,80.0
default,a2c,42,484883,80.0
default,a2c,42,489918,3.2133333333337206
default,a2c,42,494953,-31.644696969696962
default,a2c,42,499989,73.39999999999999
default,a2c,123,1745,51.599999999999994
default,a2c,123,6777,74.82516161616161
default,a2c,123,11810,78.19584595959597
default,a2c,123,16843,75.68206060606062
default,a2c,123,21876,79.21830808080807
default,a2c,123,26909,79.9
default,a2c,123,31942,79.94
default,a2c,123,36974,79.66
default,a2c,123,42007,79.94
default,a2c,123,47040,79.98
default,a2c,123,52073,72.81402020202003
default,a2c,123,57106,79.98
default,a2c,123,62139,79.86
default,a2c,123,67171,74.70622222222207
default,a2c,123,72204,79.94
default,a2c,123,77237,80.0
default,a2c,123,82270,80.0
default,a2c,123,87303,80.0
default,a2c,123,92336,80.0
default,a2c,123,97368,80.0
default,a2c,123,102401,79.86077441077437
default,a2c,123,107434,80.0
default,a2c,123,112467,79.96
default,a2c,123,117500,79.92
default,a2c,123,122533,79.86
default,a2c,123,127565,79.97999999999999
default,a2c,123,132598,52.94925252525217
default,a2c,123,137631,-50.1
default,a2c,123,142664,79.84
default,a2c,123,147697,79.96
default,a2c,123,152730,79.94
default,a2c,123,157762,55.76
default,a2c,123,162795,80.0
default,a2c,123,167828,80.0
default,a2c,123,172861,79.9220202020203
default,a2c,123,177894,77.74582070707068
default,a2c,123,182927,80.0
default,a2c,123,187960,80.0
default,a2c,123,192992,80.0
default,a2c,123,198025,80.0
